Hostname,IP,URL,CPU,RAM,GPU,Hard Disk,Interfacce di Rete,OS,Macchina di Monitoraggio,Macchina Gateway,Docker Swarm Node/Cluster,Kubernetes Cluster,Ambiente,Ruolo/Funzione,Stato,Responsabile,Note,CI ID
vm-web-18,10.0.1.18,www.web18.com,15,32GB,N/A,1TB SSD,eth0: 10.0.1.18,Ubuntu 18.04 LTS,monitor-01,gateway-4,N/A,N/A,Dev,Web Server,Attivo,Team ML,Web Server #18,b06a93ad-d8dd-4474-b967-708cc167a405
vm-web-19,172.16.0.19,www.web19.com,7,8GB,N/A,2TB SSD,eth0: 172.16.0.19,Ubuntu 20.04 LTS,monitor-01,gateway-1,N/A,N/A,Dev,Web Server,Attivo,Team Web,Web Server #19,bb3461e9-b7e3-4580-a067-0f18c4bf2b16
vm-web-20,10.0.1.20,www.web20.com,8,32GB,N/A,500GB SSD,eth0: 10.0.1.20,CentOS 8,monitor-01,gateway-2,N/A,N/A,Dev,Web Server,Attivo,Team DB,Web Server #20,c0e0bfc1-eb57-45c1-aba7-6adc2a6f4e41
vm-web-21,192.168.1.21,www.web21.com,5,8GB,N/A,2TB SSD,eth0: 192.168.1.21,Windows Server 2016,monitor-01,gateway-1,N/A,N/A,Test,Web Server,Attivo,Team Web,Web Server #21,c0de35d4-0a14-4827-a608-716905f242f0
vm-web-22,10.0.1.22,www.web22.com,14,8GB,N/A,500GB SSD,eth0: 10.0.1.22,CentOS 8,monitor-01,gateway-3,N/A,N/A,Test,Web Server,Attivo,Team ML,Web Server #22,2c4e705b-edc6-4f33-a859-ca3aa18d06a0
vm-web-23,10.0.0.23,www.web23.com,11,64GB,N/A,1TB SSD,eth0: 10.0.0.23,Ubuntu 20.04 LTS,monitor-01,gateway-8,N/A,N/A,Prod,Web Server,Attivo,Team DevOps,Web Server #23,fc79bf40-d048-47c1-830f-2fcf33ed2c89
vm-web-24,10.0.0.24,www.web24.com,14,32GB,N/A,2TB SSD,eth0: 10.0.0.24,Ubuntu 20.04 LTS,monitor-01,gateway-7,N/A,N/A,Dev,Web Server,Attivo,Team Web,Web Server #24,7885782f-6d42-4963-9d63-681e4fea1944
vm-web-25,172.16.0.25,www.web25.com,7,32GB,N/A,1TB SSD,eth0: 172.16.0.25,Windows Server 2016,monitor-01,gateway-6,N/A,N/A,Test,Web Server,Attivo,Team Infrastructure,Web Server #25,ae6d60ff-0f15-4514-b463-dc359bf608fd
vm-kube-master-1,192.168.1.26,N/A,16,64GB,N/A,2TB SSD,eth0: 192.168.1.26,Debian 10,monitor-01,gateway-4,N/A,KubeCluster01,Dev,Kubernetes Master,Attivo,Team DB,Kubernetes Master #1,cd2674bf-3ae4-4657-85d6-eb62a872dc66
vm-kube-master-2,10.0.0.27,N/A,2,64GB,N/A,2TB SSD,eth0: 10.0.0.27,Windows Server 2016,monitor-01,gateway-4,N/A,KubeCluster01,Test,Kubernetes Master,Attivo,Team ML,Kubernetes Master #2,cce25a39-2dd4-48ba-bc7e-9abe09293712
vm-kube-master-3,172.16.0.28,N/A,12,32GB,N/A,1TB SSD,eth0: 172.16.0.28,Ubuntu 20.04 LTS,monitor-01,gateway-6,N/A,KubeCluster01,Test,Kubernetes Master,Attivo,Team DevOps,Kubernetes Master #3,9f015ca8-1121-4516-82e9-417efe473179
vm-kube-node-1,192.168.1.29,N/A,5,16GB,N/A,2TB SSD,eth0: 192.168.1.29,Ubuntu 18.04 LTS,monitor-01,gateway-4,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team Infrastructure,Kubernetes Node #1,b608579b-e15a-4e52-80ca-1760c3784aed
vm-kube-node-2,10.0.1.30,N/A,15,16GB,N/A,2TB SSD,eth0: 10.0.1.30,Ubuntu 20.04 LTS,monitor-01,gateway-6,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team Infrastructure,Kubernetes Node #2,0a63db8b-791d-4528-a0f7-48b11d1f231a
vm-kube-node-3,192.168.1.31,N/A,8,64GB,N/A,500GB SSD,eth0: 192.168.1.31,Oracle Linux 7.9,monitor-01,gateway-4,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team DB,Kubernetes Node #3,8e700a38-bbc4-4b35-9d0b-718f1bb3dccd
vm-kube-node-4,172.16.0.32,N/A,6,64GB,N/A,1TB SSD,eth0: 172.16.0.32,Debian 10,monitor-01,gateway-9,N/A,KubeCluster01,Dev,Kubernetes Node,Attivo,Team QA,Kubernetes Node #4,38a8166a-5d52-442f-9bc0-4727b11f041c
vm-kube-node-5,10.0.1.33,N/A,6,16GB,N/A,2TB SSD,eth0: 10.0.1.33,Oracle Linux 7.9,monitor-01,gateway-5,N/A,KubeCluster01,Dev,Kubernetes Node,Attivo,Team Kubernetes,Kubernetes Node #5,723f0b2c-86fe-4c1b-87ce-ad37f7bee8c6
vm-kube-node-6,172.16.0.34,N/A,6,32GB,N/A,1TB SSD,eth0: 172.16.0.34,Windows Server 2019,monitor-01,gateway-3,N/A,KubeCluster01,Test,Kubernetes Node,Attivo,Team Infrastructure,Kubernetes Node #6,50233a4d-e6e9-4f90-8769-f456f3e801bd
vm-kube-node-7,192.168.1.35,N/A,3,32GB,N/A,500GB SSD,eth0: 192.168.1.35,Ubuntu 18.04 LTS,monitor-01,gateway-4,N/A,KubeCluster01,Test,Kubernetes Node,Attivo,Team QA,Kubernetes Node #7,a8818adf-af6e-44a6-975b-8ea1177689ff
vm-kube-node-8,172.16.0.36,N/A,15,16GB,N/A,1TB SSD,eth0: 172.16.0.36,Debian 10,monitor-01,gateway-2,N/A,KubeCluster01,Dev,Kubernetes Node,Attivo,Team ML,Kubernetes Node #8,8e3a7e77-b221-4163-ba58-9bfa12bd2d8f
vm-kube-node-9,192.168.1.37,N/A,13,16GB,N/A,2TB SSD,eth0: 192.168.1.37,Windows Server 2019,monitor-01,gateway-3,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team ML,Kubernetes Node #9,a8e1dd83-5759-42c4-914b-015134fc01f4
vm-kube-node-10,10.1.0.38,N/A,7,16GB,N/A,2TB SSD,eth0: 10.1.0.38,Windows Server 2019,monitor-01,gateway-6,N/A,KubeCluster01,Test,Kubernetes Node,Attivo,Team QA,Kubernetes Node #10,5f766c90-4cee-4f21-82e9-9b744d96699f
vm-kube-node-11,10.0.0.39,N/A,10,32GB,N/A,500GB SSD,eth0: 10.0.0.39,Ubuntu 20.04 LTS,monitor-01,gateway-8,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team DevOps,Kubernetes Node #11,faeeb21f-4c9b-439a-8499-3bc628c69b52
vm-kube-node-12,10.0.1.40,N/A,7,16GB,N/A,2TB SSD,eth0: 10.0.1.40,Debian 10,monitor-01,gateway-2,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team Infrastructure,Kubernetes Node #12,7c8714c6-befe-411e-8ad9-c0072658ce15
vm-kube-node-13,10.0.0.41,N/A,7,32GB,N/A,1TB SSD,eth0: 10.0.0.41,Windows Server 2019,monitor-01,gateway-2,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team Infrastructure,Kubernetes Node #13,1a97f08c-69e4-4dc1-90ec-12fc0691db51
vm-kube-node-14,10.1.0.42,N/A,15,64GB,N/A,1TB SSD,eth0: 10.1.0.42,Debian 10,monitor-01,gateway-7,N/A,KubeCluster01,Dev,Kubernetes Node,Attivo,Team DB,Kubernetes Node #14,c3931475-0fc4-49d9-a974-394ba4901280
vm-kube-node-15,192.168.1.43,N/A,10,8GB,N/A,1TB SSD,eth0: 192.168.1.43,Ubuntu 20.04 LTS,monitor-01,gateway-3,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team Infrastructure,Kubernetes Node #15,8f12ded4-d64e-49bd-a847-82260b0373c8
vm-kube-node-16,10.0.1.44,N/A,14,32GB,N/A,2TB SSD,eth0: 10.0.1.44,CentOS 8,monitor-01,gateway-6,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team DevOps,Kubernetes Node #16,e364554a-944b-40c7-915d-25a8db7070a9
vm-kube-node-17,172.16.0.45,N/A,16,32GB,N/A,2TB SSD,eth0: 172.16.0.45,Ubuntu 18.04 LTS,monitor-01,gateway-2,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team Infrastructure,Kubernetes Node #17,fe4e71d1-9635-423e-bf5c-f0880a68e8d7
vm-kube-node-18,172.16.0.46,N/A,9,8GB,N/A,500GB SSD,eth0: 172.16.0.46,Ubuntu 20.04 LTS,monitor-01,gateway-1,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team Kubernetes,Kubernetes Node #18,933e4e5e-644f-44e7-a002-5f1309dfd578
vm-kube-node-19,10.0.0.47,N/A,7,16GB,N/A,1TB SSD,eth0: 10.0.0.47,Oracle Linux 7.9,monitor-01,gateway-4,N/A,KubeCluster01,Dev,Kubernetes Node,Attivo,Team ML,Kubernetes Node #19,e7ef16a5-f65b-47b7-bcf0-836396276c55
vm-kube-node-20,10.0.1.48,N/A,2,16GB,N/A,500GB SSD,eth0: 10.0.1.48,Ubuntu 18.04 LTS,monitor-01,gateway-8,N/A,KubeCluster01,Prod,Kubernetes Node,Attivo,Team DB,Kubernetes Node #20,920c8032-8323-4eab-801d-2934f8f45ab6
vm-docker-swarm-1,10.0.0.49,N/A,14,8GB,N/A,1TB SSD,eth0: 10.0.0.49,Ubuntu 18.04 LTS,monitor-01,gateway-3,SwarmCluster01,N/A,Test,Docker Swarm Node,Attivo,Team ML,Docker Swarm Node #1,68544422-6f29-4267-9948-c04962e163e5
vm-docker-swarm-2,10.0.1.50,N/A,6,16GB,N/A,2TB SSD,eth0: 10.0.1.50,Debian 10,monitor-01,gateway-1,SwarmCluster01,N/A,Test,Docker Swarm Node,Attivo,Team QA,Docker Swarm Node #2,fa090fcb-5117-4038-a4aa-29c82888382e
vm-docker-swarm-3,10.1.0.51,N/A,6,16GB,N/A,1TB SSD,eth0: 10.1.0.51,Ubuntu 18.04 LTS,monitor-01,gateway-8,SwarmCluster01,N/A,Dev,Docker Swarm Node,Attivo,Team Web,Docker Swarm Node #3,05811789-be50-49ce-9fec-8594ea47570e
vm-docker-swarm-4,10.1.0.52,N/A,16,32GB,N/A,2TB SSD,eth0: 10.1.0.52,Ubuntu 18.04 LTS,monitor-01,gateway-8,SwarmCluster01,N/A,Prod,Docker Swarm Node,Attivo,Team Infrastructure,Docker Swarm Node #4,da482b88-c3f2-435f-b8f1-c03d93d42bf5
vm-docker-swarm-5,192.168.1.53,N/A,12,64GB,N/A,500GB SSD,eth0: 192.168.1.53,Windows Server 2019,monitor-01,gateway-2,SwarmCluster01,N/A,Test,Docker Swarm Node,Attivo,Team Kubernetes,Docker Swarm Node #5,ae561717-9ce7-4ee1-9a6e-c0c517d8556a
vm-docker-swarm-6,10.1.0.54,N/A,3,32GB,N/A,2TB SSD,eth0: 10.1.0.54,Windows Server 2019,monitor-01,gateway-8,SwarmCluster01,N/A,Test,Docker Swarm Node,Attivo,Team Docker,Docker Swarm Node #6,7a730e61-2357-40d1-895d-e5689ed44d28
vm-docker-swarm-7,10.0.1.55,N/A,12,8GB,N/A,2TB SSD,eth0: 10.0.1.55,Windows Server 2016,monitor-01,gateway-8,SwarmCluster01,N/A,Prod,Docker Swarm Node,Attivo,Team Infrastructure,Docker Swarm Node #7,feeb7251-7cf4-4646-8d62-a5d6c5d98c64
vm-docker-swarm-8,172.16.0.56,N/A,10,16GB,N/A,1TB SSD,eth0: 172.16.0.56,Windows Server 2016,monitor-01,gateway-6,SwarmCluster01,N/A,Test,Docker Swarm Node,Attivo,Team QA,Docker Swarm Node #8,b4bbed1b-9f74-4d93-920c-47c52833f59e
vm-docker-swarm-9,10.0.0.57,N/A,4,32GB,N/A,500GB SSD,eth0: 10.0.0.57,Windows Server 2019,monitor-01,gateway-5,SwarmCluster01,N/A,Prod,Docker Swarm Node,Attivo,Team QA,Docker Swarm Node #9,1cf0ba2f-5383-4a91-89c7-7dcc29798498
vm-docker-swarm-10,10.0.1.58,N/A,5,8GB,N/A,1TB SSD,eth0: 10.0.1.58,Ubuntu 20.04 LTS,monitor-01,gateway-1,SwarmCluster01,N/A,Prod,Docker Swarm Node,Attivo,Team Infrastructure,Docker Swarm Node #10,4fc2972f-8b36-46d1-a5bf-8b88e9c7bb2d
vm-oracle-db-1,10.0.0.59,N/A,11,16GB,N/A,500GB SSD,eth0: 10.0.0.59,CentOS 8,monitor-01,gateway-5,N/A,N/A,Dev,Oracle DB Server,Attivo,Team ML,Oracle DB Server #1,ab9b25c6-a3f7-4e4b-95e3-20bc78e8543c
vm-oracle-db-2,10.0.1.60,N/A,16,32GB,N/A,500GB SSD,eth0: 10.0.1.60,CentOS 8,monitor-01,gateway-10,N/A,N/A,Dev,Oracle DB Server,Attivo,Team Web,Oracle DB Server #2,b6706a38-f6f1-4d9b-bf1e-ef37bc238588
vm-oracle-db-3,10.1.0.61,N/A,6,8GB,N/A,1TB SSD,eth0: 10.1.0.61,CentOS 8,monitor-01,gateway-1,N/A,N/A,Test,Oracle DB Server,Attivo,Team DB,Oracle DB Server #3,caeaf523-0665-450d-ac1f-cf0f95b3a256
vm-oracle-db-4,10.0.0.62,N/A,3,8GB,N/A,2TB SSD,eth0: 10.0.0.62,CentOS 8,monitor-01,gateway-8,N/A,N/A,Dev,Oracle DB Server,Attivo,Team Kubernetes,Oracle DB Server #4,1ae398e9-dace-4f40-aaff-2bb34676a6c2
vm-oracle-db-5,192.168.1.63,N/A,2,32GB,N/A,2TB SSD,eth0: 192.168.1.63,Ubuntu 20.04 LTS,monitor-01,gateway-5,N/A,N/A,Test,Oracle DB Server,Attivo,Team Web,Oracle DB Server #5,c6a99dfa-2ded-441d-968e-a09805993fb2
vm-ml-1,172.16.0.64,N/A,9,16GB,"NVIDIA Tesla K80, 12GB",1TB SSD,eth0: 172.16.0.64,Debian 10,monitor-01,gateway-9,N/A,N/A,Prod,Machine Learning Server,Attivo,Team Infrastructure,Machine Learning Server #1,bd05561e-fb51-4b70-8058-6c14bbd68e4b
vm-ml-2,10.1.0.65,N/A,3,32GB,"NVIDIA Tesla K80, 12GB",500GB SSD,eth0: 10.1.0.65,CentOS 8,monitor-01,gateway-10,N/A,N/A,Test,Machine Learning Server,Attivo,Team Web,Machine Learning Server #2,4d71237a-c47b-468b-a74b-45ad3b38c54c
vm-ml-3,172.16.0.66,N/A,2,8GB,"NVIDIA Tesla K80, 12GB",2TB SSD,eth0: 172.16.0.66,CentOS 8,monitor-01,gateway-2,N/A,N/A,Test,Machine Learning Server,Attivo,Team DevOps,Machine Learning Server #3,d7dbe704-6cc9-4e97-94f9-acfb80231e0d
vm-ml-4,10.0.1.67,N/A,15,64GB,"NVIDIA Tesla K80, 12GB",2TB SSD,eth0: 10.0.1.67,Windows Server 2016,monitor-01,gateway-6,N/A,N/A,Prod,Machine Learning Server,Attivo,Team DB,Machine Learning Server #4,fe61ac37-9d14-4479-bf11-9d779de1a03d
vm-ml-5,10.0.0.68,N/A,16,64GB,"NVIDIA Tesla K80, 12GB",1TB SSD,eth0: 10.0.0.68,Oracle Linux 7.9,monitor-01,gateway-1,N/A,N/A,Test,Machine Learning Server,Attivo,Team Infrastructure,Machine Learning Server #5,4dec3e49-a4c7-47a1-af43-936dc2775572
vm-ml-6,10.0.1.69,N/A,10,64GB,"NVIDIA Tesla K80, 12GB",1TB SSD,eth0: 10.0.1.69,CentOS 8,monitor-01,gateway-1,N/A,N/A,Dev,Machine Learning Server,Attivo,Team DevOps,Machine Learning Server #6,4ae04bdf-1a98-4886-ab49-105e6e3be869
vm-ml-7,10.1.0.70,N/A,6,8GB,"NVIDIA Tesla K80, 12GB",500GB SSD,eth0: 10.1.0.70,Ubuntu 20.04 LTS,monitor-01,gateway-10,N/A,N/A,Test,Machine Learning Server,Attivo,Team Kubernetes,Machine Learning Server #7,ff7991fc-9549-4828-9de6-3a61a73ecd0e
vm-ml-8,172.16.0.71,N/A,14,16GB,"NVIDIA Tesla K80, 12GB",500GB SSD,eth0: 172.16.0.71,Debian 10,monitor-01,gateway-7,N/A,N/A,Prod,Machine Learning Server,Attivo,Team DB,Machine Learning Server #8,ec3124da-63db-498d-ac4c-b1d453ce0468
vm-ml-9,172.16.0.72,N/A,5,8GB,"NVIDIA Tesla K80, 12GB",1TB SSD,eth0: 172.16.0.72,CentOS 8,monitor-01,gateway-10,N/A,N/A,Prod,Machine Learning Server,Attivo,Team ML,Machine Learning Server #9,78d45a8a-a737-4755-a35a-de392f829fda
vm-ml-10,192.168.1.73,N/A,10,16GB,"NVIDIA Tesla K80, 12GB",2TB SSD,eth0: 192.168.1.73,Ubuntu 20.04 LTS,monitor-01,gateway-10,N/A,N/A,Prod,Machine Learning Server,Attivo,Team DevOps,Machine Learning Server #10,a776d96e-7af4-4409-a62d-b6f39c271f5e
vm-dev-1,172.16.0.74,N/A,2,32GB,N/A,1TB SSD,eth0: 172.16.0.74,Ubuntu 18.04 LTS,monitor-01,gateway-7,N/A,N/A,Dev,Development Machine,Attivo,Team Web,Development Machine #1,e104ccfc-f37a-443b-b958-25e499363389
vm-dev-2,10.0.0.75,N/A,15,16GB,N/A,2TB SSD,eth0: 10.0.0.75,Windows Server 2016,monitor-01,gateway-5,N/A,N/A,Test,Development Machine,Attivo,Team Kubernetes,Development Machine #2,e36e034f-650d-4cc3-9563-19a23e81584c
vm-dev-3,192.168.1.76,N/A,4,64GB,N/A,500GB SSD,eth0: 192.168.1.76,Oracle Linux 7.9,monitor-01,gateway-7,N/A,N/A,Test,Development Machine,Attivo,Team Infrastructure,Development Machine #3,a96f4d4c-a41f-4ff1-9bbd-6d5504ee313f
vm-dev-4,192.168.1.77,N/A,14,32GB,N/A,2TB SSD,eth0: 192.168.1.77,Oracle Linux 7.9,monitor-01,gateway-7,N/A,N/A,Test,Development Machine,Attivo,Team Infrastructure,Development Machine #4,8d095b76-6e09-4109-8dbb-8b4323b977cc
vm-dev-5,10.1.0.78,N/A,10,8GB,N/A,1TB SSD,eth0: 10.1.0.78,Debian 10,monitor-01,gateway-9,N/A,N/A,Prod,Development Machine,Attivo,Team Kubernetes,Development Machine #5,3126be34-7c4c-4eb3-a2df-c76ace04c344
vm-dev-6,10.1.0.79,N/A,6,16GB,N/A,500GB SSD,eth0: 10.1.0.79,CentOS 8,monitor-01,gateway-3,N/A,N/A,Dev,Development Machine,Attivo,Team QA,Development Machine #6,ae7d6982-a5a5-431c-a691-da38f63f39b5
vm-dev-7,10.1.0.80,N/A,12,32GB,N/A,500GB SSD,eth0: 10.1.0.80,Ubuntu 18.04 LTS,monitor-01,gateway-2,N/A,N/A,Dev,Development Machine,Attivo,Team Kubernetes,Development Machine #7,85cc4d15-6098-4025-b86a-89329bca0fc2
vm-dev-8,192.168.1.81,N/A,5,8GB,N/A,500GB SSD,eth0: 192.168.1.81,Ubuntu 20.04 LTS,monitor-01,gateway-8,N/A,N/A,Test,Development Machine,Attivo,Team Docker,Development Machine #8,6fc6a97d-2ff5-4b9c-9e10-070984ca62ff
vm-dev-9,192.168.1.82,N/A,15,8GB,N/A,1TB SSD,eth0: 192.168.1.82,Debian 10,monitor-01,gateway-2,N/A,N/A,Prod,Development Machine,Attivo,Team Infrastructure,Development Machine #9,ad596d6d-d962-4c6b-ad1a-367cea743338
vm-dev-10,10.1.0.83,N/A,5,64GB,N/A,1TB SSD,eth0: 10.1.0.83,Ubuntu 18.04 LTS,monitor-01,gateway-4,N/A,N/A,Dev,Development Machine,Attivo,Team Web,Development Machine #10,ad164c96-74a9-4bd4-9854-b6aa1fb3e4fd
vm-dev-11,10.0.1.84,N/A,11,8GB,N/A,500GB SSD,eth0: 10.0.1.84,Windows Server 2016,monitor-01,gateway-5,N/A,N/A,Prod,Development Machine,Attivo,Team ML,Development Machine #11,d2d73bf5-3243-4f08-9ac8-4b8809fc8374
vm-dev-12,10.0.1.85,N/A,15,64GB,N/A,2TB SSD,eth0: 10.0.1.85,Windows Server 2019,monitor-01,gateway-8,N/A,N/A,Prod,Development Machine,Attivo,Team DB,Development Machine #12,3f19392d-000b-461a-a4e8-de853f91bae2
vm-dev-13,10.1.0.86,N/A,4,64GB,N/A,1TB SSD,eth0: 10.1.0.86,Oracle Linux 7.9,monitor-01,gateway-10,N/A,N/A,Prod,Development Machine,Attivo,Team Web,Development Machine #13,60d657d1-a9d4-40ba-998d-55f425a61710
vm-dev-14,172.16.0.87,N/A,15,8GB,N/A,2TB SSD,eth0: 172.16.0.87,CentOS 8,monitor-01,gateway-4,N/A,N/A,Prod,Development Machine,Attivo,Team DevOps,Development Machine #14,a62a9bab-d981-4ee1-bc2d-d00b1b1b373b
vm-dev-15,10.0.0.88,N/A,12,16GB,N/A,1TB SSD,eth0: 10.0.0.88,CentOS 8,monitor-01,gateway-8,N/A,N/A,Test,Development Machine,Attivo,Team Kubernetes,Development Machine #15,b957ec33-9c99-49a2-9e8f-75c549177020
vm-test-1,192.168.1.89,N/A,4,32GB,N/A,500GB SSD,eth0: 192.168.1.89,Windows Server 2019,monitor-01,gateway-7,N/A,N/A,Dev,Testing Machine,Attivo,Team Web,Testing Machine #1,713edf8e-c07f-4204-8ca3-6e036bb7ac92
vm-test-2,172.16.0.90,N/A,13,64GB,N/A,1TB SSD,eth0: 172.16.0.90,Oracle Linux 7.9,monitor-01,gateway-8,N/A,N/A,Test,Testing Machine,Attivo,Team ML,Testing Machine #2,7dca3ffd-2891-407a-8e88-90b81fac4462
vm-test-3,10.1.0.91,N/A,11,32GB,N/A,500GB SSD,eth0: 10.1.0.91,CentOS 8,monitor-01,gateway-1,N/A,N/A,Dev,Testing Machine,Attivo,Team Kubernetes,Testing Machine #3,09d2d663-843e-4206-bd81-c89047b57501
vm-test-4,10.0.1.92,N/A,3,8GB,N/A,500GB SSD,eth0: 10.0.1.92,CentOS 8,monitor-01,gateway-9,N/A,N/A,Dev,Testing Machine,Attivo,Team Web,Testing Machine #4,a03d29d2-2ac4-4b75-9673-88b85d417771
vm-test-5,10.0.1.93,N/A,8,8GB,N/A,500GB SSD,eth0: 10.0.1.93,Windows Server 2019,monitor-01,gateway-2,N/A,N/A,Dev,Testing Machine,Attivo,Team DB,Testing Machine #5,102e99e1-3854-4af5-9e42-5625b1dae9f9
vm-test-6,10.0.0.94,N/A,10,64GB,N/A,2TB SSD,eth0: 10.0.0.94,Ubuntu 18.04 LTS,monitor-01,gateway-6,N/A,N/A,Test,Testing Machine,Attivo,Team ML,Testing Machine #6,2f7ddbbd-2759-446d-8041-472cbf83fa04
vm-test-7,10.0.0.95,N/A,2,64GB,N/A,2TB SSD,eth0: 10.0.0.95,Windows Server 2016,monitor-01,gateway-8,N/A,N/A,Test,Testing Machine,Attivo,Team Web,Testing Machine #7,916984b8-ed50-4f13-b3c1-b07838a88d0d
