Hostname,IP,URL,CPU,RAM,Hard Disk,OS,Monitoraggio,Ambiente,Ruolo,ID CI,Stato,Porta,Protocollo,Funzione,Localizzazione,Priorità,Versione OS,Backup,Firewall,Note
Gateway-30,192.168.1.121,N/A,16 vCPUs,32 GB,256 GB SSD,Debian 10,CheckMK,Dev,web,36454d51-54a7-4e67-8d24-6ce0f0c388f0,Attivo,80,HTTP,Sviluppo,Data Center 2,Alta,Latest,Sì,Sì,Generato automaticamente
Router-31,192.168.1.235,N/A,8 vCPUs,32 GB,1024 GB SSD,Ubuntu 20.04,Nagios,Test,dev,fdc1790c-5d06-4017-bdfb-9bcb8691aa51,Inattivo,443,HTTP,Sviluppo,Data Center 2,Bassa,Old,Sì,No,Generato automaticamente
Gateway-32,10.0.1.7,N/A,4 vCPUs,16 GB,512 GB SSD,Windows Server 2019,Nagios,Prod,router,c3fc335b-7d77-4166-9660-6285380e356b,Inattivo,80,HTTPS,Sviluppo,Data Center 2,Bassa,Stable,No,Sì,Generato automaticamente
Server-33,10.0.1.232,N/A,8 vCPUs,8 GB,1024 GB SSD,Debian 10,Prometheus,Prod,independent,7bd724b7-2183-49e7-a750-0f327834b539,Attivo,22,HTTP,Test,Data Center 1,Alta,Latest,No,Sì,Generato automaticamente
Server-34,10.0.0.178,N/A,8 vCPUs,32 GB,256 GB SSD,Windows Server 2019,CheckMK,Test,router,340eb2ee-b670-4191-93a7-06c221a92000,Attivo,22,HTTPS,Produzione,Data Center 2,Alta,Old,Sì,Sì,Generato automaticamente
Server-35,10.0.0.16,N/A,16 vCPUs,32 GB,1024 GB SSD,Windows Server 2019,Prometheus,Prod,ml,5b71c565-9754-4fd1-9132-b48b13e555b6,Attivo,80,HTTPS,Sviluppo,Data Center 1,Media,Stable,Sì,No,Generato automaticamente
Firewall-36,10.0.1.31,N/A,2 vCPUs,32 GB,512 GB SSD,CentOS 8,Prometheus,Test,docker-swarm,517b3813-4ee8-4be6-a12a-08edc1e1d7a4,Attivo,80,HTTP,Sviluppo,Data Center 1,Bassa,Latest,Sì,Sì,Generato automaticamente
Server-37,10.0.0.170,N/A,16 vCPUs,8 GB,512 GB SSD,Debian 10,CheckMK,Test,kube-node,ded45492-2f14-4992-bc76-fdb83ba169a6,Inattivo,22,SSH,Produzione,Data Center 2,Media,Old,Sì,No,Generato automaticamente
Gateway-38,10.0.1.101,N/A,2 vCPUs,16 GB,512 GB SSD,Windows Server 2019,Nagios,Dev,router,750400f1-7dc2-4f4a-bd42-bfa2bea6f9c1,Attivo,22,HTTP,Sviluppo,Data Center 2,Alta,Old,No,Sì,Generato automaticamente
Router-39,10.0.0.163,N/A,2 vCPUs,8 GB,1024 GB SSD,Debian 10,Nagios,Prod,test,d9145234-b0cf-4ae2-ad92-efd94ea85f66,Inattivo,80,SSH,Sviluppo,Data Center 1,Bassa,Stable,Sì,Sì,Generato automaticamente
VM-40,10.0.1.84,N/A,16 vCPUs,8 GB,256 GB SSD,Debian 10,CheckMK,Test,dev,2c8d0fa0-59f6-44c9-ab80-05f6e85e77d3,Inattivo,80,SSH,Test,Data Center 1,Alta,Latest,No,Sì,Generato automaticamente
Router-41,10.0.0.155,N/A,4 vCPUs,32 GB,1024 GB SSD,Debian 10,Nagios,Dev,monitor,9cf11ff9-8795-4460-9175-e6a29746a63a,Attivo,443,HTTPS,Sviluppo,Data Center 2,Alta,Stable,No,No,Generato automaticamente
Gateway-42,192.168.1.78,N/A,2 vCPUs,32 GB,256 GB SSD,CentOS 8,CheckMK,Dev,dev,68469bf7-4903-4bba-94b2-447a2860b4ca,Attivo,80,HTTPS,Sviluppo,Data Center 2,Alta,Stable,Sì,Sì,Generato automaticamente
Gateway-43,172.16.0.234,N/A,2 vCPUs,32 GB,1024 GB SSD,CentOS 8,Nagios,Dev,independent,cec2623f-ad88-4dfa-9c3e-65a670406ea5,Inattivo,80,SSH,Sviluppo,Data Center 2,Media,Latest,No,Sì,Generato automaticamente
Gateway-44,172.16.0.193,N/A,16 vCPUs,64 GB,256 GB SSD,Debian 10,CheckMK,Prod,independent,61e6eb43-7ac4-46e6-9c45-2ddc13d68426,Attivo,443,SSH,Sviluppo,Data Center 2,Alta,Latest,No,No,Generato automaticamente
Gateway-45,172.16.0.39,N/A,8 vCPUs,8 GB,1024 GB SSD,Ubuntu 20.04,CheckMK,Prod,router,99553bb2-e930-4d88-9821-91896933f9c2,Attivo,443,HTTP,Sviluppo,Data Center 2,Media,Latest,No,Sì,Generato automaticamente
Firewall-46,192.168.1.34,N/A,2 vCPUs,64 GB,256 GB SSD,Debian 10,CheckMK,Test,gateway,cb17a5a3-6f34-4342-9588-156d8474fa6b,Attivo,443,HTTPS,Produzione,Data Center 2,Media,Stable,Sì,No,Generato automaticamente
Router-47,172.16.0.4,N/A,4 vCPUs,8 GB,1024 GB SSD,Ubuntu 20.04,Nagios,Prod,oracle-db,54f32bc8-284a-4276-ab88-4f346f61aec9,Inattivo,80,HTTP,Sviluppo,Data Center 1,Alta,Stable,Sì,No,Generato automaticamente
Gateway-48,10.0.0.60,N/A,4 vCPUs,8 GB,1024 GB SSD,Windows Server 2019,CheckMK,Dev,dev,6c6558c4-96bc-44ec-a003-ba8dc32057c1,Inattivo,443,SSH,Sviluppo,Data Center 2,Alta,Latest,Sì,Sì,Generato automaticamente
Firewall-49,192.168.1.105,N/A,16 vCPUs,64 GB,1024 GB SSD,Debian 10,Prometheus,Dev,gateway,090eee29-5030-44a1-8c9a-f2376d4d84d0,Inattivo,22,HTTP,Sviluppo,Data Center 2,Alta,Latest,Sì,No,Generato automaticamente
Gateway-50,192.168.1.52,N/A,16 vCPUs,8 GB,256 GB SSD,CentOS 8,Nagios,Test,dev,72f91bfd-5ab1-4be3-a72b-a3c4b34fff0d,Attivo,80,SSH,Produzione,Data Center 1,Alta,Latest,No,Sì,Generato automaticamente
Firewall-51,172.16.0.174,N/A,16 vCPUs,64 GB,512 GB SSD,Ubuntu 20.04,Nagios,Test,gateway,ad405494-b75d-4b2e-87db-0dcdd5941b52,Inattivo,80,SSH,Test,Data Center 1,Bassa,Old,No,Sì,Generato automaticamente
Router-52,10.0.0.244,N/A,8 vCPUs,8 GB,512 GB SSD,CentOS 8,Nagios,Test,kube-master,2d20c354-1083-4d55-9b82-1eed368d5937,Attivo,443,HTTPS,Test,Data Center 2,Bassa,Latest,No,No,Generato automaticamente
Router-53,10.0.1.19,N/A,16 vCPUs,16 GB,512 GB SSD,Ubuntu 20.04,Prometheus,Prod,kube-node,2021a5fd-5f38-4c56-a53d-c6122eb1caa0,Attivo,22,HTTP,Test,Data Center 2,Bassa,Latest,Sì,No,Generato automaticamente
VM-54,192.168.1.194,N/A,2 vCPUs,32 GB,256 GB SSD,Debian 10,Nagios,Prod,test,1d78e921-82be-463d-91ba-13c751db6ef5,Attivo,22,HTTPS,Sviluppo,Data Center 2,Alta,Stable,Sì,No,Generato automaticamente
Gateway-55,192.168.1.131,N/A,8 vCPUs,8 GB,512 GB SSD,Windows Server 2019,Nagios,Prod,test,aa725b8d-817a-49d1-996e-bcc4072c2ad4,Inattivo,80,HTTP,Test,Data Center 1,Media,Stable,No,No,Generato automaticamente
Firewall-56,172.16.0.180,N/A,8 vCPUs,32 GB,512 GB SSD,CentOS 8,CheckMK,Test,monitor,70f13626-cd7f-47a4-a999-9a2e31ff9e3a,Inattivo,80,HTTP,Test,Data Center 1,Alta,Latest,No,No,Generato automaticamente
Firewall-57,192.168.1.195,N/A,4 vCPUs,32 GB,256 GB SSD,Ubuntu 20.04,Prometheus,Test,independent,5ad32426-597b-4436-a78d-b0a1f2a5f7ad,Inattivo,443,SSH,Test,Data Center 1,Media,Old,No,Sì,Generato automaticamente
VM-58,10.0.0.179,N/A,16 vCPUs,16 GB,512 GB SSD,Debian 10,Nagios,Test,kube-master,33db9e67-fe03-44fd-9835-8aaec3b68d0f,Inattivo,80,HTTP,Sviluppo,Data Center 1,Alta,Stable,Sì,Sì,Generato automaticamente
Server-59,10.0.1.5,N/A,16 vCPUs,32 GB,1024 GB SSD,Debian 10,Nagios,Test,web,5b0e6282-2611-4353-81df-a03e78624b28,Attivo,22,HTTP,Produzione,Data Center 1,Alta,Stable,No,Sì,Generato automaticamente
VM-60,172.16.0.153,N/A,8 vCPUs,16 GB,512 GB SSD,Windows Server 2019,Nagios,Dev,independent,41898ee1-3a64-4919-b221-d57fea8e5470,Inattivo,443,HTTPS,Test,Data Center 1,Media,Stable,No,Sì,Generato automaticamente
Firewall-61,192.168.1.163,N/A,16 vCPUs,32 GB,1024 GB SSD,CentOS 8,Nagios,Test,web,50858868-6607-4bbd-a050-1e4955c0399e,Attivo,80,SSH,Sviluppo,Data Center 2,Alta,Stable,No,Sì,Generato automaticamente
Server-62,10.0.0.106,N/A,2 vCPUs,8 GB,1024 GB SSD,Windows Server 2019,Nagios,Dev,kube-node,fc0e12ef-8a5b-489c-824a-4f5a84070e34,Inattivo,22,SSH,Test,Data Center 1,Bassa,Stable,Sì,No,Generato automaticamente
VM-63,172.16.0.191,N/A,16 vCPUs,8 GB,1024 GB SSD,Windows Server 2019,Nagios,Test,docker-swarm,0215a4c8-c8bd-4d90-a635-8a12e56804f0,Attivo,80,HTTP,Produzione,Data Center 2,Media,Stable,Sì,No,Generato automaticamente
Server-64,10.0.1.75,N/A,16 vCPUs,8 GB,256 GB SSD,CentOS 8,Nagios,Prod,independent,4931728f-e1d5-4b7f-b5f4-53ccccc6f448,Inattivo,22,HTTPS,Sviluppo,Data Center 2,Media,Latest,No,No,Generato automaticamente
Firewall-65,192.168.1.243,N/A,16 vCPUs,8 GB,512 GB SSD,Debian 10,Prometheus,Dev,oracle-db,1f303322-3ac7-4e14-bf2b-1559977c44c7,Inattivo,22,SSH,Test,Data Center 2,Media,Latest,No,Sì,Generato automaticamente
Firewall-66,10.0.0.4,N/A,2 vCPUs,16 GB,256 GB SSD,CentOS 8,Nagios,Dev,dev,95d273d5-224d-4c69-8c9a-fafcc968f4ad,Attivo,80,HTTP,Produzione,Data Center 2,Media,Old,Sì,No,Generato automaticamente
VM-67,172.16.0.205,N/A,8 vCPUs,32 GB,256 GB SSD,CentOS 8,Prometheus,Test,firewall,e7701043-22c7-47ff-85cd-eb02d081f3f9,Inattivo,443,HTTP,Sviluppo,Data Center 2,Bassa,Latest,Sì,No,Generato automaticamente
Firewall-68,10.0.0.162,N/A,4 vCPUs,32 GB,1024 GB SSD,Ubuntu 20.04,Nagios,Dev,gateway,f051703f-c11b-4d15-abfe-6d63759c0198,Attivo,80,HTTP,Sviluppo,Data Center 1,Alta,Stable,No,No,Generato automaticamente
Router-69,10.0.0.221,N/A,8 vCPUs,16 GB,512 GB SSD,Ubuntu 20.04,Prometheus,Prod,test,cf97f764-28b1-452e-ac64-8215f8aee7db,Inattivo,443,SSH,Test,Data Center 1,Bassa,Old,No,No,Generato automaticamente
Router-70,172.16.0.52,N/A,16 vCPUs,64 GB,512 GB SSD,Ubuntu 20.04,CheckMK,Test,test,b0b6c818-a91f-4d51-91b2-a6cb09f4be68,Attivo,80,HTTPS,Sviluppo,Data Center 1,Alta,Old,No,No,Generato automaticamente
VM-71,172.16.0.148,N/A,4 vCPUs,64 GB,512 GB SSD,Windows Server 2019,Prometheus,Test,oracle-db,a4b0987c-c4c7-47ee-9909-6dbb703b048e,Inattivo,22,SSH,Produzione,Data Center 1,Media,Stable,No,No,Generato automaticamente
Gateway-72,10.0.1.126,N/A,2 vCPUs,64 GB,1024 GB SSD,Windows Server 2019,CheckMK,Prod,independent,4c6ad914-1fbc-49ff-923c-aa12550fe5ef,Attivo,80,SSH,Produzione,Data Center 2,Alta,Latest,No,Sì,Generato automaticamente
Router-73,10.0.1.121,N/A,16 vCPUs,8 GB,512 GB SSD,Debian 10,Nagios,Dev,oracle-db,77ebc523-4281-44b4-8386-18ddb797d74d,Attivo,22,HTTP,Sviluppo,Data Center 1,Media,Stable,No,Sì,Generato automaticamente
Gateway-74,10.0.0.15,N/A,4 vCPUs,16 GB,512 GB SSD,Windows Server 2019,Prometheus,Test,independent,bd356204-6302-4275-84b0-9b3561dc1cfd,Attivo,80,SSH,Test,Data Center 2,Alta,Old,No,No,Generato automaticamente
Server-75,10.0.0.166,N/A,8 vCPUs,32 GB,512 GB SSD,Windows Server 2019,Nagios,Prod,docker-swarm,a7f83326-4199-41f3-8234-2e5c242f30de,Attivo,443,HTTPS,Produzione,Data Center 1,Media,Stable,Sì,Sì,Generato automaticamente
Gateway-76,10.0.0.178,N/A,8 vCPUs,8 GB,512 GB SSD,Windows Server 2019,Prometheus,Prod,kube-master,ff6ad441-829b-4de8-9792-a3f990da30c8,Inattivo,80,HTTP,Test,Data Center 2,Media,Latest,No,No,Generato automaticamente
Router-77,10.0.1.216,N/A,16 vCPUs,16 GB,256 GB SSD,Windows Server 2019,Nagios,Dev,web,032851d9-4b86-4666-80f9-c6561e1ab667,Attivo,443,HTTP,Produzione,Data Center 1,Media,Latest,No,Sì,Generato automaticamente
Server-78,10.0.1.243,N/A,2 vCPUs,16 GB,1024 GB SSD,Debian 10,Nagios,Test,router,57e69d6c-da20-4666-8183-475c249d7ba3,Attivo,22,HTTPS,Test,Data Center 1,Bassa,Old,Sì,No,Generato automaticamente
Gateway-79,10.0.0.109,N/A,8 vCPUs,32 GB,1024 GB SSD,CentOS 8,CheckMK,Test,kube-master,67269b89-c071-496d-9a0a-6c6ddeaa5b5a,Attivo,443,HTTP,Sviluppo,Data Center 2,Alta,Old,No,No,Generato automaticamente
Firewall-80,172.16.0.34,N/A,4 vCPUs,32 GB,256 GB SSD,Debian 10,CheckMK,Dev,docker-swarm,861f45c8-c294-46f1-9b83-f1c7f94d301d,Inattivo,80,HTTPS,Sviluppo,Data Center 1,Bassa,Stable,No,No,Generato automaticamente
Gateway-81,10.0.0.66,N/A,8 vCPUs,16 GB,512 GB SSD,Windows Server 2019,Prometheus,Prod,dev,cfbb466c-b2ec-4860-94b2-822d543994f2,Attivo,443,SSH,Produzione,Data Center 1,Media,Old,Sì,No,Generato automaticamente
VM-82,192.168.1.165,N/A,8 vCPUs,16 GB,512 GB SSD,Debian 10,Nagios,Prod,oracle-db,8bf2aec4-f0bd-40ee-b4b4-2870ef25b655,Attivo,22,HTTPS,Produzione,Data Center 2,Alta,Old,Sì,No,Generato automaticamente
VM-83,192.168.1.132,N/A,2 vCPUs,32 GB,512 GB SSD,Ubuntu 20.04,CheckMK,Prod,kube-node,c9d8ee6c-8d01-4dfc-a784-55ebd329b72b,Inattivo,22,SSH,Sviluppo,Data Center 2,Bassa,Stable,Sì,Sì,Generato automaticamente
Firewall-84,172.16.0.204,N/A,4 vCPUs,64 GB,512 GB SSD,Ubuntu 20.04,Prometheus,Dev,firewall,de8c160e-f2a4-41cf-9a8a-a754ff59319d,Inattivo,443,SSH,Produzione,Data Center 1,Bassa,Stable,No,Sì,Generato automaticamente
Server-85,172.16.0.38,N/A,16 vCPUs,32 GB,256 GB SSD,Windows Server 2019,CheckMK,Test,independent,172ffb46-28b4-4399-939a-7b9cc59598be,Attivo,443,HTTPS,Produzione,Data Center 2,Alta,Latest,Sì,Sì,Generato automaticamente
Server-86,172.16.0.41,N/A,16 vCPUs,16 GB,1024 GB SSD,Ubuntu 20.04,Nagios,Prod,monitor,8d526b98-21ce-49e6-90f4-20b2d2dbe634,Attivo,443,HTTPS,Sviluppo,Data Center 1,Media,Stable,Sì,Sì,Generato automaticamente
Gateway-87,10.0.1.85,N/A,8 vCPUs,32 GB,512 GB SSD,Debian 10,Prometheus,Test,kube-node,99c016d9-aa78-4177-ab9a-ed54e10d6b41,Attivo,22,HTTP,Sviluppo,Data Center 1,Media,Latest,No,Sì,Generato automaticamente
Firewall-88,192.168.1.125,N/A,8 vCPUs,32 GB,1024 GB SSD,CentOS 8,CheckMK,Prod,kube-node,4cc9b679-f1dd-4412-a824-1b5aaa02ad24,Inattivo,80,HTTPS,Test,Data Center 1,Media,Stable,Sì,Sì,Generato automaticamente
VM-89,10.0.0.189,N/A,2 vCPUs,16 GB,256 GB SSD,Ubuntu 20.04,Nagios,Test,test,0b4f8294-cbed-4429-84ee-69fae5ecbf4e,Inattivo,80,HTTPS,Sviluppo,Data Center 1,Alta,Old,No,Sì,Generato automaticamente
Router-90,10.0.0.82,N/A,8 vCPUs,8 GB,1024 GB SSD,Debian 10,CheckMK,Test,web,96f64a2c-3557-4fe9-be15-dd4d3c5f55af,Inattivo,22,HTTPS,Produzione,Data Center 1,Bassa,Latest,Sì,Sì,Generato automaticamente
Firewall-91,172.16.0.199,N/A,16 vCPUs,16 GB,256 GB SSD,Ubuntu 20.04,CheckMK,Prod,oracle-db,729389f0-300d-4b32-8aea-cdf613d9dcf8,Inattivo,22,HTTPS,Test,Data Center 1,Bassa,Latest,No,No,Generato automaticamente
Gateway-92,192.168.1.17,N/A,2 vCPUs,64 GB,256 GB SSD,Debian 10,Nagios,Test,gateway,4bdeea3d-02ff-4ac7-9992-bee79b6127de,Attivo,443,SSH,Sviluppo,Data Center 2,Alta,Latest,Sì,Sì,Generato automaticamente
Firewall-93,172.16.0.203,N/A,2 vCPUs,8 GB,256 GB SSD,Windows Server 2019,Prometheus,Dev,monitor,2c3c1951-9e9f-4dba-be0b-ec3e2cf6d208,Attivo,22,HTTP,Produzione,Data Center 1,Media,Stable,Sì,No,Generato automaticamente
VM-94,10.0.0.144,N/A,4 vCPUs,32 GB,256 GB SSD,Debian 10,Nagios,Test,independent,e69c8384-966f-475d-8c3b-d53b1cb4e8fa,Inattivo,22,HTTPS,Sviluppo,Data Center 2,Bassa,Latest,No,Sì,Generato automaticamente
VM-95,192.168.1.23,N/A,2 vCPUs,32 GB,256 GB SSD,Windows Server 2019,Nagios,Prod,kube-node,7ba553c8-c075-4188-9e94-de0e87380060,Inattivo,22,SSH,Test,Data Center 2,Alta,Old,No,No,Generato automaticamente
Server-96,192.168.1.4,N/A,8 vCPUs,16 GB,1024 GB SSD,Ubuntu 20.04,CheckMK,Test,ml,a0f01622-5914-406b-a965-641b9a594bae,Inattivo,80,SSH,Produzione,Data Center 2,Media,Old,Sì,No,Generato automaticamente
Gateway-97,10.0.0.14,N/A,16 vCPUs,32 GB,512 GB SSD,CentOS 8,Nagios,Prod,oracle-db,e5669f8e-2907-4acd-ab29-ca5b936ca61e,Attivo,443,HTTP,Sviluppo,Data Center 1,Media,Latest,No,Sì,Generato automaticamente
Gateway-98,10.0.1.30,N/A,2 vCPUs,16 GB,512 GB SSD,CentOS 8,Prometheus,Test,router,d8e7eebb-65b2-4b6b-b978-270b063afd36,Inattivo,80,SSH,Sviluppo,Data Center 2,Bassa,Stable,No,Sì,Generato automaticamente
Gateway-99,172.16.0.39,N/A,2 vCPUs,16 GB,256 GB SSD,Windows Server 2019,CheckMK,Test,kube-master,62cbba11-646e-40a1-a0ed-949155823198,Inattivo,80,HTTP,Test,Data Center 1,Bassa,Latest,No,Sì,Generato automaticamente
Gateway-100,10.0.0.68,N/A,8 vCPUs,16 GB,512 GB SSD,Ubuntu 20.04,Prometheus,Prod,ml,20ed379c-a17e-473c-9ac2-857019199dda,Inattivo,80,HTTPS,Sviluppo,Data Center 1,Bassa,Old,Sì,Sì,Generato automaticamente
Gateway-101,10.0.1.192,N/A,4 vCPUs,8 GB,1024 GB SSD,Windows Server 2019,Prometheus,Prod,web,10414131-b8b1-4beb-b4d3-e5b727029d80,Inattivo,22,SSH,Test,Data Center 2,Bassa,Stable,No,Sì,Generato automaticamente
Gateway-102,192.168.1.129,N/A,2 vCPUs,8 GB,256 GB SSD,Ubuntu 20.04,CheckMK,Dev,test,921435e0-9732-4a33-add7-113cf2dcf7d9,Attivo,80,SSH,Produzione,Data Center 1,Media,Stable,No,Sì,Generato automaticamente
