Hostname,Dipendenze,Componenti Dipendenti,Monitorato da,Applicativi Installati,Servizi Forniti,Flusso di Traffico In,Flusso di Traffico Out,Relazioni con Docker Swarm,Relazioni con Kubernetes,Politiche di Backup,Politiche di Sicurezza,Contatti di Supporto,SLA,Note
VM-12,Server-37,Gateway-100;Router-19,CheckMK,Docker,kube-master,443,443,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Firewall-13,Firewall-16;Gateway-23,Server-78,CheckMK,Apache,docker-swarm,80,443,Sì,No,Settimanale,Standard,supporto@docker-swarm.com,99.9%,KMDB generato per simulazione
Server-14,Gateway-183;Server-75;Gateway-3,Server-148,Nagios,Apache,gateway,443,80,No,No,Settimanale,Standard,supporto@gateway.com,99.9%,KMDB generato per simulazione
Gateway-15,Firewall-188;Firewall-126,Router-140,Prometheus,Docker,gateway,443,443,No,No,Giornaliero,Standard,supporto@gateway.com,99.9%,KMDB generato per simulazione
Firewall-16,Firewall-65,Server-150;Server-129,CheckMK,Apache,router,443,443,No,No,Nessuno,Standard,supporto@router.com,99%,KMDB generato per simulazione
Router-17,Firewall-49;VM-7,VM-24;Server-14,CheckMK,Apache,docker-swarm,80,443,Sì,No,Giornaliero,Standard,supporto@docker-swarm.com,99.9%,KMDB generato per simulazione
VM-18,Gateway-6;VM-165,Server-199,CheckMK,Nginx,kube-master,443,443,No,Sì,Giornaliero,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Router-19,Gateway-76;Gateway-92,VM-175,Nagios,Apache,independent,80,443,No,No,Nessuno,Standard,supporto@independent.com,99.99%,KMDB generato per simulazione
Firewall-20,Router-53,Firewall-57;Server-37,Prometheus,Nginx,gateway,80,80,No,No,Giornaliero,Standard,supporto@gateway.com,99.9%,KMDB generato per simulazione
VM-21,VM-82;Firewall-121,Router-41;Firewall-61,CheckMK,Docker,oracle-db,80,443,No,No,Settimanale,Standard,supporto@oracle-db.com,99.9%,KMDB generato per simulazione
Server-22,VM-95;Firewall-114,Router-90;VM-120,Prometheus,Apache,dev,443,80,No,No,Settimanale,Standard,supporto@dev.com,99.9%,KMDB generato per simulazione
Gateway-23,Server-104;Firewall-88;Server-33,Gateway-28;Firewall-133,Nagios,Nginx,monitor,443,443,No,No,Nessuno,Standard,supporto@monitor.com,99.9%,KMDB generato per simulazione
VM-24,Firewall-155;Server-186;Gateway-112,Firewall-151,Prometheus,Docker,web,443,80,No,No,Nessuno,Standard,supporto@web.com,99%,KMDB generato per simulazione
Router-25,Firewall-16;Server-200,Firewall-176,Nagios,Docker,ml,443,80,No,No,Settimanale,Standard,supporto@ml.com,99.9%,KMDB generato per simulazione
VM-26,VM-24;Router-147;Firewall-190,Router-90,Nagios,Kubernetes,kube-master,443,80,No,Sì,Giornaliero,Standard,supporto@kube-master.com,99.99%,KMDB generato per simulazione
Router-27,Server-129,Gateway-125;Firewall-91,Nagios,Apache,independent,80,443,No,No,Giornaliero,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Gateway-28,Firewall-190;Gateway-50;Server-134,Server-185;VM-196,Nagios,Apache,oracle-db,80,80,No,No,Giornaliero,Standard,supporto@oracle-db.com,99%,KMDB generato per simulazione
Firewall-29,Gateway-142;Router-10,VM-106;Firewall-114,Prometheus,Kubernetes,oracle-db,80,443,No,No,Nessuno,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
Gateway-30,Gateway-142;Server-64,Firewall-131,Prometheus,Docker,web,80,80,No,No,Settimanale,Standard,supporto@web.com,99.9%,KMDB generato per simulazione
Router-31,Router-52;Server-86,Server-137,Nagios,Apache,dev,443,80,No,No,Giornaliero,Standard,supporto@dev.com,99.9%,KMDB generato per simulazione
Gateway-32,Server-150,Firewall-123;Gateway-74,Nagios,Nginx,router,443,80,No,No,Nessuno,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
Server-33,VM-5,Router-25;Gateway-43,Nagios,Docker,independent,80,443,No,No,Settimanale,Standard,supporto@independent.com,99.99%,KMDB generato per simulazione
Server-34,Router-169;Router-124;Gateway-184,Router-53,CheckMK,Kubernetes,router,443,443,No,No,Nessuno,Standard,supporto@router.com,99%,KMDB generato per simulazione
Server-35,Gateway-43,Router-167,Prometheus,Nginx,ml,443,443,No,No,Settimanale,Standard,supporto@ml.com,99.9%,KMDB generato per simulazione
Firewall-36,Server-148;Firewall-151,Server-177,Prometheus,Apache,docker-swarm,443,443,Sì,No,Settimanale,Standard,supporto@docker-swarm.com,99%,KMDB generato per simulazione
Server-37,Firewall-188;Gateway-43;Server-129,Gateway-45;Server-78,Nagios,Docker,kube-node,80,443,No,Sì,Settimanale,Standard,supporto@kube-node.com,99%,KMDB generato per simulazione
Gateway-38,Firewall-188;Firewall-117,Gateway-99,Prometheus,Nginx,router,80,80,No,No,Giornaliero,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
Router-39,VM-67,Firewall-51,Nagios,Kubernetes,test,443,443,No,No,Settimanale,Standard,supporto@test.com,99.99%,KMDB generato per simulazione
VM-40,VM-21,Server-104,Prometheus,Docker,dev,80,443,No,No,Giornaliero,Standard,supporto@dev.com,99%,KMDB generato per simulazione
Router-41,Router-147,Router-10,Prometheus,Apache,monitor,443,80,No,No,Settimanale,Standard,supporto@monitor.com,99%,KMDB generato per simulazione
Gateway-42,Gateway-99,Router-39;Gateway-92,CheckMK,Nginx,dev,443,80,No,No,Giornaliero,Standard,supporto@dev.com,99.99%,KMDB generato per simulazione
Gateway-43,Gateway-50;Router-77,Router-109;Gateway-143,CheckMK,Docker,independent,443,443,No,No,Nessuno,Standard,supporto@independent.com,99%,KMDB generato per simulazione
Gateway-44,Gateway-192;Router-147;Router-167,Server-86,CheckMK,Kubernetes,independent,443,443,No,No,Nessuno,Standard,supporto@independent.com,99%,KMDB generato per simulazione
Gateway-45,Router-140;Server-150,VM-26;VM-89,CheckMK,Docker,router,443,80,No,No,Settimanale,Standard,supporto@router.com,99.9%,KMDB generato per simulazione
Firewall-46,Server-37;VM-170,Gateway-178,CheckMK,Docker,gateway,443,443,No,No,Settimanale,Standard,supporto@gateway.com,99.99%,KMDB generato per simulazione
Router-47,Gateway-98;Firewall-123,VM-7,CheckMK,Docker,oracle-db,80,443,No,No,Settimanale,Standard,supporto@oracle-db.com,99%,KMDB generato per simulazione
Gateway-48,Gateway-28;VM-82;Server-62,VM-26,CheckMK,Nginx,dev,443,443,No,No,Giornaliero,Standard,supporto@dev.com,99%,KMDB generato per simulazione
Firewall-49,Firewall-13;Firewall-160,Server-148;Firewall-114,Prometheus,Kubernetes,gateway,443,443,No,No,Settimanale,Standard,supporto@gateway.com,99%,KMDB generato per simulazione
Gateway-50,Gateway-30,Firewall-91;Router-124,Prometheus,Docker,dev,80,80,No,No,Giornaliero,Standard,supporto@dev.com,99%,KMDB generato per simulazione
Firewall-51,Firewall-115;VM-8,Firewall-155;Firewall-162,Nagios,Apache,gateway,443,443,No,No,Settimanale,Standard,supporto@gateway.com,99.9%,KMDB generato per simulazione
Router-52,Gateway-143,Server-104;VM-5,Nagios,Apache,kube-master,443,443,No,Sì,Settimanale,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Router-53,Router-191,Server-33;Gateway-32,Nagios,Docker,kube-node,443,443,No,Sì,Settimanale,Standard,supporto@kube-node.com,99.99%,KMDB generato per simulazione
VM-54,Gateway-79;Router-52;Firewall-194,Server-154;Gateway-55,Nagios,Nginx,test,80,443,No,No,Settimanale,Standard,supporto@test.com,99.9%,KMDB generato per simulazione
Gateway-55,Firewall-88;Gateway-45;VM-60,Firewall-9;Gateway-92,CheckMK,Docker,test,443,443,No,No,Settimanale,Standard,supporto@test.com,99%,KMDB generato per simulazione
Firewall-56,Server-200,Firewall-66;Gateway-174,Prometheus,Docker,monitor,443,80,No,No,Settimanale,Standard,supporto@monitor.com,99.9%,KMDB generato per simulazione
Firewall-57,VM-5;Router-119;Server-199,Router-52;Firewall-133,Nagios,Apache,independent,80,80,No,No,Giornaliero,Standard,supporto@independent.com,99.99%,KMDB generato per simulazione
VM-58,Server-104;Server-33;Router-193,Server-127,Nagios,Nginx,kube-master,80,443,No,Sì,Giornaliero,Standard,supporto@kube-master.com,99.99%,KMDB generato per simulazione
Server-59,VM-2;Router-193;Firewall-9,VM-82;Firewall-114,CheckMK,Apache,web,443,443,No,No,Nessuno,Standard,supporto@web.com,99.9%,KMDB generato per simulazione
VM-60,Firewall-56,Router-31,Nagios,Apache,independent,80,443,No,No,Nessuno,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Firewall-61,Firewall-11;Router-110;Gateway-30,Firewall-113;Firewall-57,Nagios,Apache,web,80,443,No,No,Settimanale,Standard,supporto@web.com,99%,KMDB generato per simulazione
Server-62,Firewall-56,Gateway-76,Nagios,Apache,kube-node,443,443,No,Sì,Settimanale,Standard,supporto@kube-node.com,99.9%,KMDB generato per simulazione
VM-63,Server-86,Firewall-84;Firewall-188,CheckMK,Apache,docker-swarm,443,443,Sì,No,Nessuno,Standard,supporto@docker-swarm.com,99%,KMDB generato per simulazione
Server-64,VM-40;Router-31;Server-59,VM-196,Prometheus,Docker,independent,443,80,No,No,Settimanale,Standard,supporto@independent.com,99%,KMDB generato per simulazione
Firewall-65,Router-109;Gateway-97;Router-193,Firewall-168;Router-25,Prometheus,Apache,oracle-db,80,80,No,No,Settimanale,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
Firewall-66,Router-159;VM-95,Firewall-13,Prometheus,Nginx,dev,80,80,No,No,Settimanale,Standard,supporto@dev.com,99.9%,KMDB generato per simulazione
VM-67,Firewall-51,Router-159;Server-64,CheckMK,Nginx,firewall,443,443,No,No,Nessuno,Standard,supporto@firewall.com,99%,KMDB generato per simulazione
Firewall-68,VM-12;Server-62;Gateway-112,Firewall-182,Nagios,Apache,gateway,443,443,No,No,Giornaliero,Standard,supporto@gateway.com,99%,KMDB generato per simulazione
Router-69,VM-67;Router-53;Firewall-114,Gateway-122,CheckMK,Apache,test,443,443,No,No,Settimanale,Standard,supporto@test.com,99.9%,KMDB generato per simulazione
Router-70,Firewall-16,Server-137;VM-132,Prometheus,Apache,test,80,443,No,No,Nessuno,Standard,supporto@test.com,99.9%,KMDB generato per simulazione
VM-71,Firewall-116;VM-2,Firewall-11,Nagios,Apache,oracle-db,80,443,No,No,Settimanale,Standard,supporto@oracle-db.com,99%,KMDB generato per simulazione
Gateway-72,Gateway-183,Gateway-92,CheckMK,Apache,independent,443,80,No,No,Nessuno,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Router-73,VM-12;VM-24;Gateway-192,Server-127,Prometheus,Docker,oracle-db,443,80,No,No,Settimanale,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
Gateway-74,Gateway-44;Firewall-133;Gateway-6,Firewall-88,CheckMK,Nginx,independent,443,443,No,No,Settimanale,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Server-75,VM-5;Gateway-184;Firewall-4,Gateway-102;VM-67,Prometheus,Nginx,docker-swarm,80,80,Sì,No,Settimanale,Standard,supporto@docker-swarm.com,99.9%,KMDB generato per simulazione
Gateway-76,VM-105;Gateway-98,Firewall-160,Nagios,Apache,kube-master,80,443,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.99%,KMDB generato per simulazione
Router-77,Router-110;Gateway-143,Router-110;VM-105,Nagios,Kubernetes,web,80,80,No,No,Giornaliero,Standard,supporto@web.com,99%,KMDB generato per simulazione
Server-78,Router-39;VM-171;Gateway-3,Gateway-192,Prometheus,Kubernetes,router,80,80,No,No,Settimanale,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
Gateway-79,Gateway-87,Server-199;Router-169,Nagios,Docker,kube-master,443,80,No,Sì,Giornaliero,Standard,supporto@kube-master.com,99%,KMDB generato per simulazione
Firewall-80,Router-119;Gateway-6;Firewall-93,Router-193,CheckMK,Kubernetes,docker-swarm,80,80,Sì,No,Giornaliero,Standard,supporto@docker-swarm.com,99%,KMDB generato per simulazione
Gateway-81,Server-62,Firewall-66;Server-141,Prometheus,Kubernetes,dev,80,443,No,No,Nessuno,Standard,supporto@dev.com,99%,KMDB generato per simulazione
VM-82,Firewall-126;Server-177,Gateway-122,Prometheus,Nginx,oracle-db,443,80,No,No,Settimanale,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
VM-83,VM-8,Router-110,CheckMK,Nginx,kube-node,80,80,No,Sì,Nessuno,Standard,supporto@kube-node.com,99.99%,KMDB generato per simulazione
Firewall-84,Gateway-138,Firewall-9;Gateway-6,CheckMK,Docker,firewall,80,443,No,No,Giornaliero,Standard,supporto@firewall.com,99.9%,KMDB generato per simulazione
Server-85,Firewall-93,Gateway-111,CheckMK,Docker,independent,80,80,No,No,Giornaliero,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Server-86,Firewall-91;Server-22;Router-69,Gateway-192;VM-171,Nagios,Kubernetes,monitor,80,80,No,No,Giornaliero,Standard,supporto@monitor.com,99.99%,KMDB generato per simulazione
Gateway-87,Gateway-122,Gateway-183,CheckMK,Nginx,kube-node,80,80,No,Sì,Nessuno,Standard,supporto@kube-node.com,99.9%,KMDB generato per simulazione
Firewall-88,Firewall-61;Gateway-111,Server-96;Server-33,Prometheus,Nginx,kube-node,80,443,No,Sì,Nessuno,Standard,supporto@kube-node.com,99%,KMDB generato per simulazione
VM-89,Firewall-115,Gateway-44,Nagios,Docker,test,443,80,No,No,Nessuno,Standard,supporto@test.com,99.99%,KMDB generato per simulazione
Router-90,Router-47;Router-10;VM-196,VM-149,Nagios,Docker,web,443,443,No,No,Giornaliero,Standard,supporto@web.com,99.9%,KMDB generato per simulazione
Firewall-91,Router-195;Router-180,Gateway-6;VM-94,CheckMK,Kubernetes,oracle-db,443,443,No,No,Giornaliero,Standard,supporto@oracle-db.com,99%,KMDB generato per simulazione
Gateway-92,Router-181;Router-10,Server-85;Router-77,CheckMK,Apache,gateway,443,80,No,No,Giornaliero,Standard,supporto@gateway.com,99.99%,KMDB generato per simulazione
Firewall-93,Gateway-38;VM-7,Gateway-130,Nagios,Kubernetes,monitor,443,443,No,No,Giornaliero,Standard,supporto@monitor.com,99%,KMDB generato per simulazione
VM-94,Gateway-6;Gateway-192;Firewall-182,Gateway-48;Gateway-183,Nagios,Docker,independent,443,80,No,No,Settimanale,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
VM-95,VM-71;Server-35;Server-59,Router-69;Router-124,Nagios,Docker,kube-node,443,443,No,Sì,Giornaliero,Standard,supporto@kube-node.com,99.99%,KMDB generato per simulazione
Server-96,Firewall-29,Router-73,Prometheus,Docker,ml,80,80,No,No,Giornaliero,Standard,supporto@ml.com,99.9%,KMDB generato per simulazione
Gateway-97,Firewall-113,Server-129,Nagios,Kubernetes,oracle-db,443,443,No,No,Giornaliero,Standard,supporto@oracle-db.com,99.9%,KMDB generato per simulazione
Gateway-98,Server-33,Server-154;Server-198,Prometheus,Kubernetes,router,80,80,No,No,Giornaliero,Standard,supporto@router.com,99%,KMDB generato per simulazione
Gateway-99,Server-22;Server-118;VM-58,Gateway-130;Gateway-48,Prometheus,Nginx,kube-master,80,80,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.99%,KMDB generato per simulazione
Gateway-100,Gateway-192;Router-167,Gateway-142;Firewall-123,Nagios,Nginx,ml,80,443,No,No,Giornaliero,Standard,supporto@ml.com,99.99%,KMDB generato per simulazione
Gateway-101,VM-156;Firewall-68,Firewall-187;Firewall-107,Nagios,Docker,web,443,443,No,No,Nessuno,Standard,supporto@web.com,99.9%,KMDB generato per simulazione
Gateway-102,Router-41;Router-19,Server-33;Router-147,CheckMK,Nginx,test,443,443,No,No,Nessuno,Standard,supporto@test.com,99.99%,KMDB generato per simulazione
Gateway-103,Router-25;Router-191,Gateway-74;Firewall-117,Prometheus,Kubernetes,firewall,443,443,No,No,Giornaliero,Standard,supporto@firewall.com,99.9%,KMDB generato per simulazione
Server-104,Firewall-13;Firewall-182,Firewall-113;VM-26,Nagios,Docker,web,80,80,No,No,Giornaliero,Standard,supporto@web.com,99%,KMDB generato per simulazione
VM-105,Firewall-84;Router-10;Router-169,Firewall-57;Server-37,Nagios,Docker,web,80,443,No,No,Giornaliero,Standard,supporto@web.com,99.99%,KMDB generato per simulazione
VM-106,Firewall-66;Firewall-187,Firewall-113;VM-63,Nagios,Apache,kube-master,80,80,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Firewall-107,Gateway-23;VM-82,VM-95;VM-12,CheckMK,Nginx,kube-node,80,80,No,Sì,Giornaliero,Standard,supporto@kube-node.com,99.9%,KMDB generato per simulazione
VM-108,Router-27;Firewall-116,Server-141,Prometheus,Docker,ml,80,80,No,No,Giornaliero,Standard,supporto@ml.com,99.99%,KMDB generato per simulazione
Router-109,Firewall-187,Gateway-101,Nagios,Docker,dev,80,80,No,No,Nessuno,Standard,supporto@dev.com,99.9%,KMDB generato per simulazione
Router-110,Server-185;Server-137;VM-40,Firewall-188,Nagios,Nginx,router,80,443,No,No,Giornaliero,Standard,supporto@router.com,99.9%,KMDB generato per simulazione
Gateway-111,VM-40;VM-108;Firewall-151,VM-71;Router-73,CheckMK,Apache,kube-node,443,443,No,Sì,Nessuno,Standard,supporto@kube-node.com,99%,KMDB generato per simulazione
Gateway-112,Firewall-123;Firewall-20,VM-172,CheckMK,Docker,kube-node,443,80,No,Sì,Settimanale,Standard,supporto@kube-node.com,99%,KMDB generato per simulazione
Firewall-113,Gateway-74;Firewall-126,Gateway-81,Prometheus,Nginx,kube-node,80,80,No,Sì,Nessuno,Standard,supporto@kube-node.com,99%,KMDB generato per simulazione
Firewall-114,Gateway-38;Router-90;Server-86,Firewall-190;Firewall-29,Nagios,Nginx,gateway,80,443,No,No,Giornaliero,Standard,supporto@gateway.com,99%,KMDB generato per simulazione
Firewall-115,Gateway-43;Server-127;Router-163,Gateway-97;VM-1,Nagios,Kubernetes,monitor,443,443,No,No,Giornaliero,Standard,supporto@monitor.com,99%,KMDB generato per simulazione
Firewall-116,VM-152,Router-41;Firewall-20,CheckMK,Kubernetes,dev,80,443,No,No,Nessuno,Standard,supporto@dev.com,99%,KMDB generato per simulazione
Firewall-117,Gateway-44;VM-175,Firewall-36,CheckMK,Docker,router,80,443,No,No,Nessuno,Standard,supporto@router.com,99%,KMDB generato per simulazione
Server-118,Server-34;Gateway-125;VM-165,Gateway-32;Server-85,Prometheus,Kubernetes,web,80,80,No,No,Settimanale,Standard,supporto@web.com,99.9%,KMDB generato per simulazione
Router-119,Firewall-131;Router-70;Gateway-122,Firewall-51;VM-175,Nagios,Docker,oracle-db,80,443,No,No,Nessuno,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
VM-120,Gateway-6;VM-82;Firewall-160,Router-90;Firewall-93,CheckMK,Apache,kube-master,80,80,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Firewall-121,VM-106;Gateway-102,Router-110,CheckMK,Nginx,independent,80,443,No,No,Nessuno,Standard,supporto@independent.com,99%,KMDB generato per simulazione
Gateway-122,Router-10;Router-39,VM-120,CheckMK,Nginx,independent,80,443,No,No,Settimanale,Standard,supporto@independent.com,99.99%,KMDB generato per simulazione
Firewall-123,VM-7;Firewall-121;Firewall-93,VM-95,Prometheus,Docker,gateway,443,80,No,No,Nessuno,Standard,supporto@gateway.com,99.9%,KMDB generato per simulazione
Router-124,Gateway-44;Router-169,Gateway-98;Firewall-126,Nagios,Apache,gateway,443,443,No,No,Nessuno,Standard,supporto@gateway.com,99.99%,KMDB generato per simulazione
Gateway-125,Firewall-155;Gateway-28,Router-110;Firewall-20,Nagios,Apache,test,80,80,No,No,Giornaliero,Standard,supporto@test.com,99.99%,KMDB generato per simulazione
Firewall-126,VM-146;Gateway-48;Gateway-112,Gateway-48,CheckMK,Kubernetes,monitor,443,80,No,No,Nessuno,Standard,supporto@monitor.com,99.9%,KMDB generato per simulazione
Server-127,VM-8;Gateway-72,Router-41,Nagios,Apache,dev,443,443,No,No,Giornaliero,Standard,supporto@dev.com,99.99%,KMDB generato per simulazione
Server-128,VM-7,Firewall-135;Router-147,Prometheus,Kubernetes,monitor,443,443,No,No,Settimanale,Standard,supporto@monitor.com,99%,KMDB generato per simulazione
Server-129,VM-152;Server-33;Firewall-114,Gateway-42,CheckMK,Kubernetes,gateway,80,80,No,No,Giornaliero,Standard,supporto@gateway.com,99%,KMDB generato per simulazione
Gateway-130,VM-95;VM-18,VM-105;Server-129,Prometheus,Kubernetes,docker-swarm,80,80,Sì,No,Settimanale,Standard,supporto@docker-swarm.com,99.9%,KMDB generato per simulazione
Firewall-131,Firewall-166;Firewall-157,Router-27,Prometheus,Docker,monitor,443,80,No,No,Settimanale,Standard,supporto@monitor.com,99.99%,KMDB generato per simulazione
VM-132,Firewall-84;Router-124;Gateway-138,Firewall-84,Prometheus,Docker,router,443,443,No,No,Settimanale,Standard,supporto@router.com,99%,KMDB generato per simulazione
Firewall-133,Server-35;Gateway-122;Gateway-112,Server-185;Gateway-101,CheckMK,Apache,firewall,80,443,No,No,Nessuno,Standard,supporto@firewall.com,99.99%,KMDB generato per simulazione
Server-134,Gateway-44;Firewall-194;Firewall-166,Gateway-103,Nagios,Nginx,kube-master,80,80,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Firewall-135,Firewall-80;Firewall-66,Server-186,Nagios,Nginx,docker-swarm,80,80,Sì,No,Giornaliero,Standard,supporto@docker-swarm.com,99.99%,KMDB generato per simulazione
Firewall-136,Router-124,Firewall-36,CheckMK,Nginx,ml,80,443,No,No,Nessuno,Standard,supporto@ml.com,99%,KMDB generato per simulazione
Server-137,VM-94,VM-149;VM-83,Nagios,Kubernetes,router,443,443,No,No,Nessuno,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
Gateway-138,Router-41;Server-104,VM-63;Router-124,CheckMK,Apache,kube-master,443,80,No,Sì,Settimanale,Standard,supporto@kube-master.com,99%,KMDB generato per simulazione
Firewall-139,Server-179;Firewall-49,Server-199,Nagios,Apache,kube-node,443,443,No,Sì,Settimanale,Standard,supporto@kube-node.com,99.99%,KMDB generato per simulazione
Router-140,Router-77;Server-62,Server-154;Server-134,Nagios,Apache,independent,80,80,No,No,Giornaliero,Standard,supporto@independent.com,99%,KMDB generato per simulazione
Server-141,Gateway-92,Firewall-88;Gateway-178,CheckMK,Kubernetes,gateway,80,443,No,No,Settimanale,Standard,supporto@gateway.com,99.99%,KMDB generato per simulazione
Gateway-142,Gateway-81;Firewall-187,VM-18,Prometheus,Nginx,web,443,443,No,No,Giornaliero,Standard,supporto@web.com,99.99%,KMDB generato per simulazione
Gateway-143,Router-25;Router-17,Firewall-131,Prometheus,Kubernetes,independent,80,443,No,No,Nessuno,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Router-144,Gateway-76,Gateway-6;Gateway-38,CheckMK,Docker,gateway,80,80,No,No,Settimanale,Standard,supporto@gateway.com,99.99%,KMDB generato per simulazione
Gateway-145,Gateway-55,Server-179;Gateway-55,CheckMK,Apache,dev,443,80,No,No,Giornaliero,Standard,supporto@dev.com,99%,KMDB generato per simulazione
VM-146,Firewall-51;Router-195;VM-40,VM-2,CheckMK,Nginx,dev,80,443,No,No,Giornaliero,Standard,supporto@dev.com,99%,KMDB generato per simulazione
Router-147,Gateway-145,Gateway-79;Firewall-107,Nagios,Docker,oracle-db,80,443,No,No,Nessuno,Standard,supporto@oracle-db.com,99.99%,KMDB generato per simulazione
Server-148,Gateway-30,Firewall-80,Nagios,Nginx,gateway,443,443,No,No,Nessuno,Standard,supporto@gateway.com,99.9%,KMDB generato per simulazione
VM-149,VM-108,Router-140,Nagios,Nginx,docker-swarm,443,443,Sì,No,Nessuno,Standard,supporto@docker-swarm.com,99.99%,KMDB generato per simulazione
Server-150,Router-47;VM-89;Router-147,VM-5;Firewall-117,Prometheus,Kubernetes,docker-swarm,80,443,Sì,No,Giornaliero,Standard,supporto@docker-swarm.com,99.9%,KMDB generato per simulazione
Firewall-151,Gateway-142;Router-109;Firewall-190,Firewall-126;VM-132,Prometheus,Apache,router,443,80,No,No,Nessuno,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
VM-152,Gateway-55,Server-128;VM-71,Nagios,Docker,docker-swarm,80,80,Sì,No,Nessuno,Standard,supporto@docker-swarm.com,99%,KMDB generato per simulazione
Gateway-153,VM-170,Firewall-182,CheckMK,Kubernetes,kube-master,443,443,No,Sì,Nessuno,Standard,supporto@kube-master.com,99.9%,KMDB generato per simulazione
Server-154,VM-171;Server-59,Gateway-42,Nagios,Docker,monitor,443,443,No,No,Settimanale,Standard,supporto@monitor.com,99.9%,KMDB generato per simulazione
Firewall-155,Gateway-55;Server-85;Gateway-81,VM-172;Firewall-151,CheckMK,Nginx,monitor,443,80,No,No,Settimanale,Standard,supporto@monitor.com,99%,KMDB generato per simulazione
VM-156,Server-177;Gateway-102,Router-197;Router-47,Prometheus,Apache,oracle-db,80,443,No,No,Giornaliero,Standard,supporto@oracle-db.com,99.9%,KMDB generato per simulazione
Firewall-157,Firewall-84;Firewall-151;Gateway-122,Server-185,Prometheus,Nginx,independent,443,443,No,No,Giornaliero,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Gateway-158,Server-86,Firewall-157;VM-24,Nagios,Nginx,independent,443,443,No,No,Settimanale,Standard,supporto@independent.com,99.9%,KMDB generato per simulazione
Router-159,Firewall-84,VM-82,CheckMK,Nginx,router,443,80,No,No,Giornaliero,Standard,supporto@router.com,99.99%,KMDB generato per simulazione
